disease,disease_en,entity,entity_en,entity_type,relation,source_type,source_name,source_id,confidence
Viêm bàng quang,Cystitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Bệnh tả,Cholera,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh thương hàn,Typhoid fever,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm dạ dày ruột,Gastroenteritis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh lao phổi,Tuberculosis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Ho gà,Whooping cough,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh thủy đậu,Chickenpox,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh sởi,Measles,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm gan A,Hepatitis A,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm gan B,Hepatitis B,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh HIV/AIDS,HIV disease,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Tiểu đường type 1,Type 1 diabetes,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Tiểu đường type 2,Type 2 diabetes,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Béo phì,Obesity,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Rối loạn lipid máu,Hyperlipidemia,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Cảm lạnh thông thường,Common cold,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm họng,Pharyngitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm amidan,Tonsillitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Cúm,Influenza,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm phổi,Pneumonia,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm phế quản cấp,Acute bronchitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh phổi tắc nghẽn mãn tính,COPD,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Hen suyễn,Asthma,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh thận mãn,Chronic kidney disease,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Sỏi thận,Kidney stones,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Viêm bàng quang,Cystitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Phì đại tuyến tiền liệt,BPH,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin,0.6
Bệnh tả,Cholera,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh thương hàn,Typhoid fever,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm dạ dày ruột,Gastroenteritis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh lao phổi,Tuberculosis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Ho gà,Whooping cough,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh thủy đậu,Chickenpox,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh sởi,Measles,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm gan A,Hepatitis A,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm gan B,Hepatitis B,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh HIV/AIDS,HIV disease,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Cảm lạnh thông thường,Common cold,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm họng,Pharyngitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm amidan,Tonsillitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Cúm,Influenza,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm phổi,Pneumonia,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm phế quản cấp,Acute bronchitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Bệnh phổi tắc nghẽn mãn tính,COPD,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Hen suyễn,Asthma,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Viêm da cơ địa,Atopic dermatitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Vẩy nến,Psoriasis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Mề đay,Urticaria,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Mụn trứng cá,Acne,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin,0.6
Tiểu đường type 1,Type 1 diabetes,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin,0.6
Tiểu đường type 2,Type 2 diabetes,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin,0.6
Viêm gan A,Hepatitis A,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Đau nửa đầu,Migraine,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Tăng nhãn áp,Glaucoma,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Tăng huyết áp,Hypertension,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Đau thắt ngực,Angina pectoris,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Đau lưng,Back pain,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine,0.6
Viêm dạ dày ruột,Gastroenteritis,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Ung thư dạ dày,Stomach cancer,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Rối loạn lo âu,Anxiety disorder,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Trào ngược dạ dày thực quản,GERD,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Loét dạ dày,Gastric ulcer,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Viêm dạ dày,Gastritis,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole,0.6
Rối loạn lipid máu,Hyperlipidemia,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin,0.6
Rối loạn lo âu,Anxiety disorder,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin,0.6
Nhồi máu cơ tim,Myocardial infarction,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin,0.6
Tăng nhãn áp,Glaucoma,Losartan,,drug,treated_by,heuristic,local_drug_indication_match,Losartan,0.6
Tăng huyết áp,Hypertension,Losartan,,drug,treated_by,heuristic,local_drug_indication_match,Losartan,0.6
Viêm gan A,Hepatitis A,Cetirizine,,drug,treated_by,heuristic,local_drug_indication_match,Cetirizine,0.6
Mề đay,Urticaria,Cetirizine,,drug,treated_by,heuristic,local_drug_indication_match,Cetirizine,0.6
Suy tim,Heart failure,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol,0.6
Bệnh phổi tắc nghẽn mãn tính,COPD,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol,0.6
Hen suyễn,Asthma,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol,0.6
Viêm dạ dày ruột,Gastroenteritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm gan A,Hepatitis A,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm gan B,Hepatitis B,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm kết mạc,Conjunctivitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm họng,Pharyngitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm amidan,Tonsillitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm phổi,Pneumonia,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm phế quản cấp,Acute bronchitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm dạ dày,Gastritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm ruột thừa,Appendicitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm da cơ địa,Atopic dermatitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm khớp dạng thấp,Rheumatoid arthritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm bàng quang,Cystitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone,0.6
Viêm dạ dày ruột,Gastroenteritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm gan A,Hepatitis A,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm gan B,Hepatitis B,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Đau nửa đầu,Migraine,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm kết mạc,Conjunctivitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Đau thắt ngực,Angina pectoris,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm họng,Pharyngitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm amidan,Tonsillitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm phổi,Pneumonia,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm phế quản cấp,Acute bronchitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm dạ dày,Gastritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm ruột thừa,Appendicitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm da cơ địa,Atopic dermatitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm khớp dạng thấp,Rheumatoid arthritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Bệnh gout,Gout,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Thoái hóa khớp gối,Knee osteoarthritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Thoát vị đĩa đệm,Disc herniation,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Đau lưng,Back pain,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Loãng xương,Osteoporosis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm bàng quang,Cystitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac,0.6
Viêm gan A,Hepatitis A,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Viêm kết mạc,Conjunctivitis,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Tăng huyết áp,Hypertension,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Đau thắt ngực,Angina pectoris,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Nhồi máu cơ tim,Myocardial infarction,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Suy tim,Heart failure,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Đột quỵ não,Stroke,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Bệnh trĩ,Hemorrhoids,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin,0.6
Viêm gan A,Hepatitis A,Clopidogrel,,drug,treated_by,heuristic,local_drug_indication_match,Clopidogrel,0.6
Tăng huyết áp,Hypertension,Clopidogrel,,drug,treated_by,heuristic,local_drug_indication_match,Clopidogrel,0.6
Ho gà,Whooping cough,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Trầm cảm,Depression,Trầm cảm,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Rối loạn lo âu,Anxiety disorder,Lo âu,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Đau nửa đầu,Migraine,Đau đầu,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Đau thắt ngực,Angina pectoris,Đau ngực,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Cảm lạnh thông thường,Common cold,Trầm cảm,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Viêm họng,Pharyngitis,Đau họng,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Viêm khớp dạng thấp,Rheumatoid arthritis,Đau khớp,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Thoái hóa khớp gối,Knee osteoarthritis,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Thoái hóa khớp gối,Knee osteoarthritis,Đau khớp,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Thoát vị đĩa đệm,Disc herniation,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Đau lưng,Back pain,Đau lưng,,symptom,has_symptom,heuristic,local_symptom_namedmatch,,0.6
Tăng huyết áp,,Amlodipine,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Đau thắt ngực,,Amlodipine,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Thoát vị đĩa đệm,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Ho gà,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Tăng huyết áp,,Losartan,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Bệnh trĩ,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Thoái hóa khớp gối,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Tiểu đường type 2,,Metformin,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Loét dạ dày,,Omeprazole,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Rối loạn lipid máu,,Atorvastatin,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Hen suyễn,,Salbutamol,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Rối loạn lo âu,,Lo âu,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Xơ gan,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Đau nửa đầu,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Động kinh,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Tăng huyết áp,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Mề đay,,Cetirizine,,drug,treated_by,cooccurrence,qa_corpus,,0.4
Bệnh tả,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Bệnh thương hàn,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Sỏi mật,,Ho,,symptom,has_symptom,cooccurrence,qa_corpus,,0.4
Bệnh tả,Cholera,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm dạ dày ruột,Gastroenteritis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm dạ dày ruột,Gastroenteritis,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh lao phổi,Tuberculosis,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh lao phổi,Tuberculosis,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh lao phổi,Tuberculosis,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Ho gà,Whooping cough,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh thủy đậu,Chickenpox,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh thủy đậu,Chickenpox,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh thủy đậu,Chickenpox,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh sởi,Measles,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh sởi,Measles,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm gan A,Hepatitis A,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm gan A,Hepatitis A,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm gan B,Hepatitis B,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm gan B,Hepatitis B,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh HIV/AIDS,HIV disease,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh HIV/AIDS,HIV disease,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư dạ dày,Stomach cancer,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
