disease,disease_en,entity,entity_en,entity_type,relation,source_type,source_name,source_id
Viêm họng,Pharyngitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Viêm amidan,Tonsillitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Viêm đường hô hấp trên,Upper respiratory infection,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Cúm,Influenza,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Viêm phổi,Pneumonia,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Viêm phế quản cấp,Acute bronchitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Bệnh phổi tắc nghẽn mãn tính,COPD,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Hen suyễn,Asthma,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Bệnh thận mãn,Chronic kidney disease,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Sỏi thận,Kidney stones,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Viêm bàng quang,Cystitis,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Phì đại tuyến tiền liệt,BPH,Amoxicillin,,drug,treated_by,heuristic,local_drug_indication_match,Amoxicillin
Bệnh tả,Cholera,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh thương hàn,Typhoid fever,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm dạ dày ruột,Gastroenteritis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh lao phổi,Tuberculosis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Ho gà,Whooping cough,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh thủy đậu,Chickenpox,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh sởi,Measles,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm gan A,Hepatitis A,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm gan B,Hepatitis B,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh HIV/AIDS,HIV disease,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Cảm lạnh thông thường,Common cold,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm họng,Pharyngitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm amidan,Tonsillitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm đường hô hấp trên,Upper respiratory infection,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Cúm,Influenza,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm phổi,Pneumonia,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm phế quản cấp,Acute bronchitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Bệnh phổi tắc nghẽn mãn tính,COPD,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Hen suyễn,Asthma,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Viêm da cơ địa,Atopic dermatitis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Vẩy nến,Psoriasis,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Mề đay,Urticaria,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Mụn trứng cá,Acne,Azithromycin,,drug,treated_by,heuristic,local_drug_indication_match,Azithromycin
Tiểu đường type 1,Type 1 diabetes,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin
Tiểu đường type 2,Type 2 diabetes,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin
Viêm đường hô hấp trên,Upper respiratory infection,Metformin,,drug,treated_by,heuristic,local_drug_indication_match,Metformin
Viêm gan A,Hepatitis A,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Đau nửa đầu,Migraine,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Tăng nhãn áp,Glaucoma,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Tăng huyết áp,Hypertension,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Đau thắt ngực,Angina pectoris,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Đau lưng,Back pain,Amlodipine,,drug,treated_by,heuristic,local_drug_indication_match,Amlodipine
Viêm dạ dày ruột,Gastroenteritis,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Ung thư dạ dày,Stomach cancer,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Rối loạn lo âu,Anxiety disorder,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Trào ngược dạ dày thực quản,GERD,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Loét dạ dày,Gastric ulcer,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Viêm dạ dày,Gastritis,Omeprazole,,drug,treated_by,heuristic,local_drug_indication_match,Omeprazole
Rối loạn lipid máu,Hyperlipidemia,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin
Rối loạn lo âu,Anxiety disorder,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin
Nhồi máu cơ tim,Myocardial infarction,Atorvastatin,,drug,treated_by,heuristic,local_drug_indication_match,Atorvastatin
Tăng nhãn áp,Glaucoma,Losartan,,drug,treated_by,heuristic,local_drug_indication_match,Losartan
Tăng huyết áp,Hypertension,Losartan,,drug,treated_by,heuristic,local_drug_indication_match,Losartan
Viêm gan A,Hepatitis A,Cetirizine,,drug,treated_by,heuristic,local_drug_indication_match,Cetirizine
Mề đay,Urticaria,Cetirizine,,drug,treated_by,heuristic,local_drug_indication_match,Cetirizine
Suy tim,Heart failure,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol
Bệnh phổi tắc nghẽn mãn tính,COPD,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol
Hen suyễn,Asthma,Salbutamol,,drug,treated_by,heuristic,local_drug_indication_match,Salbutamol
Viêm dạ dày ruột,Gastroenteritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm gan A,Hepatitis A,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm gan B,Hepatitis B,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm kết mạc,Conjunctivitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm họng,Pharyngitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm amidan,Tonsillitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm đường hô hấp trên,Upper respiratory infection,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm phổi,Pneumonia,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm phế quản cấp,Acute bronchitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm dạ dày,Gastritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm ruột thừa,Appendicitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm da cơ địa,Atopic dermatitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm khớp dạng thấp,Rheumatoid arthritis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm bàng quang,Cystitis,Prednisolone,,drug,treated_by,heuristic,local_drug_indication_match,Prednisolone
Viêm dạ dày ruột,Gastroenteritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm gan A,Hepatitis A,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm gan B,Hepatitis B,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Đau nửa đầu,Migraine,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm kết mạc,Conjunctivitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Đau thắt ngực,Angina pectoris,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm họng,Pharyngitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm amidan,Tonsillitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm đường hô hấp trên,Upper respiratory infection,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm phổi,Pneumonia,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm phế quản cấp,Acute bronchitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm dạ dày,Gastritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm ruột thừa,Appendicitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm da cơ địa,Atopic dermatitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm khớp dạng thấp,Rheumatoid arthritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Bệnh gout,Gout,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Thoái hóa khớp gối,Knee osteoarthritis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Thoát vị đĩa đệm,Disc herniation,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Đau lưng,Back pain,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Loãng xương,Osteoporosis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm bàng quang,Cystitis,Diclofenac,,drug,treated_by,heuristic,local_drug_indication_match,Diclofenac
Viêm gan A,Hepatitis A,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Viêm kết mạc,Conjunctivitis,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Tăng huyết áp,Hypertension,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Đau thắt ngực,Angina pectoris,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Nhồi máu cơ tim,Myocardial infarction,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Suy tim,Heart failure,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Đột quỵ não,Stroke,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Bệnh trĩ,Hemorrhoids,Aspirin,,drug,treated_by,heuristic,local_drug_indication_match,Aspirin
Viêm gan A,Hepatitis A,Clopidogrel,,drug,treated_by,heuristic,local_drug_indication_match,Clopidogrel
Tăng huyết áp,Hypertension,Clopidogrel,,drug,treated_by,heuristic,local_drug_indication_match,Clopidogrel
Ho gà,Whooping cough,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Trầm cảm,Depression,Trầm cảm,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Rối loạn lo âu,Anxiety disorder,Lo âu,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Đau nửa đầu,Migraine,Đau đầu,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Đau thắt ngực,Angina pectoris,Đau ngực,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Cảm lạnh thông thường,Common cold,Trầm cảm,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Viêm họng,Pharyngitis,Đau họng,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Viêm khớp dạng thấp,Rheumatoid arthritis,Đau khớp,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Thoái hóa khớp gối,Knee osteoarthritis,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Thoái hóa khớp gối,Knee osteoarthritis,Đau khớp,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Thoát vị đĩa đệm,Disc herniation,Ho,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
Đau lưng,Back pain,Đau lưng,,symptom,has_symptom,heuristic,local_symptom_namedmatch,
